"AGE","STAGE","YEARS","OD_HAZARD","OD_LOWER","OD_UPPER","CD_HAZARD","CD_LOWER","CD_UPPER"
"(0,29]","Localized",0,0.00689422457448788,0.00481170718801323,0.00987806112103875,0.0216749378159526,0.0184075060071148,0.0255223593446897
"(0,29]","Localized",1,0.00820057910789805,0.00572645025408956,0.0117436623129203,0.0252859611975125,0.0214833921961281,0.0297615866129524
"(0,29]","Localized",2,0.00889868876966072,0.00621588134100565,0.0127394102298299,0.0180777167609265,0.0153636289728324,0.0212712663712558
"(0,29]","Localized",3,0.00937204368190929,0.00654838532907881,0.0134132612322769,0.0129889483404073,0.0110399119085149,0.0152820765614719
"(0,29]","Localized",4,0.00972651709528152,0.00679709823318147,0.0139184592582577,0.00980305311851337,0.00833057266984379,0.0115358036972521
"(0,29]","Localized",5,0.0100172421017173,0.00700024770704363,0.014334512655582,0.00778887372434482,0.00661635750216232,0.00916917725154368
"(0,29]","Localized",6,0.0102699763893374,0.00717615647746639,0.0146976191889513,0.00648060880603657,0.00550233980287839,0.00763280580036146
"(0,29]","Localized",7,0.0104956326895612,0.00733277709343756,0.0150227266312393,0.00560873395132936,0.00475975357097378,0.00660914404162327
"(0,29]","Localized",8,0.0107009533478392,0.00747502424461636,0.0153190677374326,0.00501581201209995,0.00425480598067526,0.00591293009987674
"(0,29]","Localized",9,0.0108903968148964,0.00760613717104486,0.015592769404734,0.00460708777644462,0.00390686993138683,0.00543280381490484
"(0,29]","Localized",10,0.0110243048620214,0.00769877712802388,0.0157863119908218,0.0043821515536263,0.00371549923381731,0.00516841776312787
"(0,29]","Regional",0,0.00683752097805236,0.00477293886357755,0.00979515955626218,0.0624677645785856,0.0531302189247611,0.0734463762557719
"(0,29]","Regional",1,0.00813313101083541,0.00567995650319245,0.0116458321835661,0.0728748328895745,0.0620051791338585,0.0856499628169168
"(0,29]","Regional",2,0.008825498862464,0.00616508986378171,0.0126339489389745,0.0521004749507872,0.0443389970848199,0.0612205884728188
"(0,29]","Regional",3,0.00929496052673016,0.00649457821269379,0.0133028333101923,0.0374345049541409,0.0318585163622702,0.0439864225485256
"(0,29]","Regional",4,0.00964651846829526,0.00674097141256439,0.0138044375015819,0.0282526676458541,0.0240383755721788,0.0332057893650569
"(0,29]","Regional",5,0.00993485232061932,0.00694220466532809,0.0142175714264441,0.0224477474526641,0.0190907531229024,0.026395049520612
"(0,29]","Regional",6,0.0101855079200714,0.00711645411523855,0.0145781269806032,0.0186772921176941,0.0158755811372976,0.0219734474218355
"(0,29]","Regional",7,0.0104093082430721,0.00727160073980077,0.0149009416483129,0.0161645249010909,0.0137324932354667,0.0190272709254971
"(0,29]","Regional",8,0.0106129401806505,0.00741251399936252,0.0151951820284565,0.014455707628914,0.0122752904288804,0.0170234249256286
"(0,29]","Regional",9,0.0108008255136801,0.00754240276961124,0.0154669321644604,0.0132777531846023,0.0112712460853868,0.0156414587280074
"(0,29]","Regional",10,0.0109336321943233,0.00763418117372734,0.0156590877581148,0.0126294808282281,0.010719028252475,0.014880433396913
"(0,29]","Distant",0,0.0106422303652057,0.00740808118443705,0.0152883134454659,0.358757944426921,0.305340759616423,0.42152009395562
"(0,29]","Distant",1,0.0126587770751328,0.00880974298719308,0.0181894792621574,0.418526666101985,0.356186253583428,0.491778019420019
"(0,29]","Distant",2,0.0137364100649467,0.00955933988495485,0.0197387020216635,0.299217675277887,0.254635442291011,0.351605481228453
"(0,29]","Distant",3,0.0144671016701045,0.0100684934543017,0.0207873235175644,0.214989701305733,0.182925848272876,0.252673814809161
"(0,29]","Distant",4,0.0150142825289074,0.0104493098189002,0.0215735473269429,0.162257590576216,0.138003050593048,0.190774957548123
"(0,29]","Distant",5,0.0154630585236531,0.0107603436841714,0.0222210541180294,0.128919416077411,0.109585624704899,0.151664201306917
"(0,29]","Distant",6,0.0158531903624086,0.0110296511023245,0.0227861827262313,0.107265354744295,0.0911209127255297,0.126270208153683
"(0,29]","Distant",7,0.0162015234206657,0.0112694114834122,0.0232921978627702,0.0928343084673329,0.0788143366097526,0.109348240027634
"(0,29]","Distant",8,0.0165184654814473,0.0114871516519231,0.0237534691863148,0.0830204184377611,0.070447089507665,0.0978378242321327
"(0,29]","Distant",9,0.0168108988067363,0.0116878326037604,0.0241795317532069,0.0762553209843672,0.0646822668573286,0.0898990449094318
"(0,29]","Distant",10,0.0170176051984213,0.0118296174767224,0.0244808327284624,0.0725322350124175,0.0615118127068369,0.0855270700762786
"(29,39]","Localized",0,0.00176606433865429,0.00124672188184081,0.00250174770414361,0.0204135317373685,0.018634503178477,0.0223624123314899
"(29,39]","Localized",1,0.00210070765207819,0.0014837555623405,0.00297419115079073,0.0238144061034116,0.0217563477503915,0.0260671485525607
