"YEARS","AGE_0_29","AGE_29_39","AGE_39_44","AGE_44_49","AGE_49_54","AGE_54_59","AGE_59_64","AGE_64_69","AGE_69_74","AGE_74_79","AGE_79_84"
0,0.029454015646077,0.0277639198539654,0.026545530305504,0.0260996237949156,0.0280125680079595,0.0290301775704987,0.0298967919643534,0.0330293895043068,0.0340882172690534,0.0387120609585359,0.0446740112867562
1,0.0342760215315207,0.0323138688981922,0.0308990010672653,0.0303811136172167,0.0326025779339698,0.0337840111461474,0.0347899780551693,0.0384250511795311,0.0396532740125518,0.0450142258319677,0.0519202573326518
2,0.0246265018109886,0.0232100912589462,0.0221892548060272,0.0218157018413555,0.0234184489828924,0.0242712594194094,0.0249976449017986,0.0276242485740754,0.0285123679816801,0.0323926337920001,0.0374003964448377
3,0.0177562744933364,0.0167316159665689,0.0159933826613755,0.015723296417985,0.0168823196846091,0.0174992460125203,0.0180248357536816,0.019926284510476,0.0205695381345617,0.023381909799765,0.0270161755678028
4,0.0134304614942251,0.0126538220876801,0.0120944015616983,0.0118897605657711,0.0127680354380116,0.0132356282246991,0.0136340502252328,0.0150758759280819,0.0155637959121114,0.0176979567295331,0.0204580438725199
5,0.0106857816981694,0.0100670474353398,0.00962142939734267,0.0094584313151711,0.0101580328275371,0.0105305522319927,0.0108479936308944,0.0119969837293888,0.0123858851368336,0.0140874047402518,0.0162890885817124
6,0.00889894744385766,0.00838323668698104,0.00801185065244958,0.00787601215004297,0.00845906899010296,0.00876955966081705,0.00903415893731363,0.00999200443492776,0.0103162510483849,0.0117351456209454,0.013571737028138
7,0.00770634505386081,0.00725949449869312,0.00693771709427193,0.00682002753908439,0.0073251993438207,0.00759423081621247,0.00782350762823836,0.00865355521483713,0.00893456458577346,0.0101643998905326,0.0117566292446301
8,0.00689449138844556,0.00649456178370156,0.00620658397533447,0.00610125903056047,0.00655336618505908,0.00679414776893539,0.00699935461201406,0.00774230396714659,0.00799384146951365,0.00909478211081227,0.0105203504109045
9,0.00633446224718492,0.00596692064708348,0.0057022719759422,0.00560548098587887,0.00602096206114722,0.00624224374858418,0.00643083519543186,0.00711365524060448,0.00734484443288597,0.0083567799030686,0.00966723476273257
10,0.00602612256532586,0.00567642047346262,0.00542462106634456,0.00533253030496639,0.00572783846266223,0.00593837951811682,0.0061178188676414,0.00676751645779927,0.00698749599287019,0.00795039525030006,0.00919741959071363
