"YEARS","AGE_0_29","AGE_29_39","AGE_39_44","AGE_44_49","AGE_49_54","AGE_54_59","AGE_59_64","AGE_64_69","AGE_69_74","AGE_74_79","AGE_79_84"
0,0.00101133828496869,0.000977358362654668,0.000939941586636683,0.000987413230382872,0.00101043897375985,0.000988909773950386,0.00100719762650581,0.00118040088054461,0.00133829070360103,0.0015005160509961,0.00188317913899072
1,0.00120484603041104,0.00116436823745103,0.00111979606743995,0.00117634589247462,0.00120377475022415,0.00117812861734212,0.00119991358132543,0.00140623400088546,0.0015943070312846,0.00178753846266211,0.0022433160250116
2,0.000897225916886124,0.000867078388238629,0.000833881762113964,0.000875999215082635,0.000896428032157282,0.000877326971459369,0.000893552252510976,0.00104722266698054,0.00118730922965393,0.00133124505789928,0.00167077661705117
3,0.000657212486805281,0.000635127043291273,0.000610808101576099,0.000641662234272311,0.000656627970987311,0.000642634919154395,0.000654521228240168,0.000767099592731801,0.000869730516685374,0.00097518552111886,0.00122396042279682
4,0.000503921090090564,0.000486985706289578,0.00046833775020505,0.000491996960263918,0.000503472875203914,0.000492742826033954,0.000501857395971861,0.000588185143103215,0.000666886935294042,0.000747756318140724,0.000938540103733843
5,0.000405630778609334,0.000391998010525807,0.000376986695713732,0.000396032001402036,0.000405269970758515,0.000396632413477871,0.000403969528738779,0.00047346293712347,0.000536818510072368,0.00060192002485826,0.000755508965249674
6,0.000341063142288434,0.000329600057893287,0.000316977854170175,0.000332992028051704,0.000340759757444631,0.000333496883084483,0.000339666282494044,0.000398100040263083,0.000451373342839845,0.000506115301867949,0.00063526599780761
7,0.000297615599792134,0.000287612571133744,0.000276598077352253,0.000290572503738429,0.000297350856958478,0.000291013055150557,0.000296396657574083,0.000347387912018937,0.000393876311346797,0.000441646647469041,0.000554350770198053
8,0.000267814257201793,0.000258812738863301,0.000248901034441307,0.00026147631997786,0.0002675760204921,0.000261872762997939,0.000266717355860036,0.000312603464349914,0.000354437739153779,0.000397425814325558,0.000498848007325026
9,0.000247108996218603,0.000238803320318559,0.000229657824942997,0.000241260998592008,0.000246889175795517,0.000241626795416061,0.000246096888096181,0.000288435958875399,0.000327036537327352,0.000366701860066598,0.000460285172921848
10,0.000235641408500631,0.000227721130220959,0.000219000005063918,0.000230064767685167,0.000235431788083162,0.00023041359088416,0.000234676263769162,0.000275050774545815,0.00031186033059305,0.00034968529674051,0.000438926889805291
