"YEARS","AGE_0_29","AGE_29_39","AGE_39_44","AGE_44_49","AGE_49_54","AGE_54_59","AGE_59_64","AGE_64_69","AGE_69_74","AGE_74_79","AGE_79_84"
0,0.00304920599090397,0.00294685688909391,0.0028341476970104,0.00297714334885479,0.00304649731434614,0.0029816510638182,0.00303673451148423,0.00355832594181771,0.004033642861627,0.00452185365707924,0.00567282917571177
1,0.00363192637829357,0.00351005224374479,0.00337583886401194,0.00354611666977034,0.0036287010011562,0.00355148433608199,0.00361707585574589,0.00423813501987969,0.00480404090277653,0.0053852442318848,0.0067552371750248
2,0.0027054664260433,0.00261464008952561,0.0025146212500583,0.00264151670021862,0.0027030626867629,0.00264551691482851,0.00269439896643486,0.00315728378654379,0.00357912624456569,0.00401243564141496,0.00503407399202271
3,0.00198221771016027,0.0019156485327213,0.001842343787965,0.00193534698787823,0.0019804559211134,0.00193827884470366,0.00197410597083392,0.002313391477619,0.00262263045592204,0.00294031195063449,0.00368947422405119
4,0.00152011088737092,0.00146904930377389,0.00141282215321981,0.00148415883108455,0.00151875950489067,0.00148640769210395,0.00151388877224656,0.0017741480244583,0.00201137716196609,0.00225510074927782,0.00282992589556963
5,0.00122373312373047,0.00118262117907042,0.00113735068192655,0.00119478648662985,0.00122264506050107,0.00119659714104603,0.00121872340105489,0.00142827578198457,0.00161929434097152,0.00181555150201707,0.00227846353274708
6,0.00102900835746478,0.000994435034499919,0.000956364815336785,0.00100466549526701,0.00102809334160392,0.00100618817354792,0.00102479539065381,0.00120102303366076,0.00136166938473525,0.00152672648969088,0.00191606737388372
7,0.000897963835472582,0.000867791522923156,0.000834567605405678,0.000876719683544191,0.000897165294822422,0.000878048531458675,0.000894287151064543,0.00104808388486122,0.00118828558377537,0.00133233969509561,0.00167215020560507
8,0.000808071721553172,0.000780918676324571,0.000751019487547633,0.000788953409845305,0.000807353087796558,0.000790149282637431,0.000804762949299431,0.000943170856510411,0.00106934590085284,0.00119898978567312,0.0015048153062005
9,0.000745613644136389,0.000720558575349695,0.000692969604332183,0.000727972500765284,0.00074495053484358,0.000729075974182369,0.000742560520915703,0.000870275144966404,0.000986703199311156,0.00110633331151455,0.00138854143967704
10,0.000711020178236654,0.000687127163873646,0.000660817801863334,0.000694197228433335,0.000710387823603553,0.000695249522515762,0.000708108657423989,0.00082990029035368,0.00094092941776347,0.00105501274482933,0.00132413848724289
